Time,Value
0.664,0.313
0.665,0.313
0.666,0.313
0.667,0.313
0.668,0.312
0.669,0.312
0.670,0.312
0.671,0.312
0.672,0.312
0.673,0.311
0.674,0.311
0.675,0.311
0.676,0.311
0.677,0.310
0.678,0.310
0.679,0.310
0.680,0.310
0.681,0.310
0.682,0.309
0.683,0.309
0.684,0.309
0.685,0.309
0.686,0.309
0.687,0.308
0.688,0.308
0.689,0.308
0.690,0.308
0.691,0.308
0.692,0.307
0.693,0.307
0.694,0.307
0.695,0.307
0.696,0.307
0.697,0.306
0.698,0.306
0.699,0.306
0.700,0.306
0.701,0.306
0.702,0.305
0.703,0.305
0.704,0.305
0.705,0.305
0.706,0.305
0.707,0.305
0.708,0.304
0.709,0.304
0.710,0.304
0.711,0.304
0.712,0.304
0.713,0.303
0.714,0.303
0.715,0.303
0.716,0.303
0.717,0.303
0.718,0.302
0.719,0.302
0.720,0.302
0.721,0.302
0.722,0.302
0.723,0.302
0.724,0.301
0.725,0.301
0.726,0.301
0.727,0.301
0.728,0.301
0.729,0.300
0.730,0.300
0.731,0.300
0.732,0.300
0.733,0.300
0.734,0.300
0.735,0.299
0.736,0.299
0.737,0.299
0.738,0.299
0.739,0.299
0.740,0.299
0.741,0.298
0.742,0.298
0.743,0.298
0.744,0.298
0.745,0.298
0.746,0.298
0.747,0.297
0.748,0.297
0.749,0.297
0.750,0.297
0.751,0.297
0.752,0.297
0.753,0.296
0.754,0.296
0.755,0.296
0.756,0.296
0.757,0.296
0.758,0.296
0.759,0.295
0.760,0.295
0.761,0.295
0.762,0.295
0.763,0.295
0.764,0.295
0.765,0.294
0.766,0.294
0.767,0.294
0.768,0.294
0.769,0.294
0.770,0.294
0.771,0.294
0.772,0.293
0.773,0.293
0.774,0.293
0.775,0.293
0.776,0.293
0.777,0.293
0.778,0.292
0.779,0.292
0.780,0.292
0.781,0.292
0.782,0.292
0.783,0.292
0.784,0.292
0.785,0.291
0.786,0.291
0.787,0.291
0.788,0.291
0.789,0.291
0.790,0.291
0.791,0.291
0.792,0.290
0.793,0.290
0.794,0.290
0.795,0.290
0.796,0.290
0.797,0.290
0.798,0.290
0.799,0.289
0.800,0.289
0.801,0.289
0.802,0.289
0.803,0.289
0.804,0.289
0.805,0.289
0.806,0.288
0.807,0.288
0.808,0.288
0.809,0.288
0.810,0.288
0.811,0.288
0.812,0.288
0.813,0.287
0.814,0.287
0.815,0.287
0.816,0.287
0.817,0.287
0.818,0.287
0.819,0.287
0.820,0.286
0.821,0.286
0.822,0.286
0.823,0.286
0.824,0.286
0.825,0.286
0.826,0.286
0.827,0.285
0.828,0.285
0.829,0.285
0.830,0.285
0.831,0.285
0.832,0.285
0.833,0.285
0.834,0.285
0.835,0.284
0.836,0.284
0.837,0.284
0.838,0.284
0.839,0.284
0.840,0.284
0.841,0.284
0.842,0.283
